Date,Price,Open,High,Low,Volume,Chg%,VIX
"Jan 12, 2015","18,795.85","18,632.00","18,822.05","18,530.10",35.09M,0.85%,16.11
"Jan 09, 2015","18,637.25","18,845.90","18,864.00","18,479.65",51.85M,-0.34%,15.96
"Jan 08, 2015","18,701.40","18,587.10","18,752.30","18,486.20",47.75M,2.17%,16.47
"Jan 07, 2015","18,304.25","18,382.55","18,482.05","18,211.50",58.24M,-0.69%,18.14
"Jan 06, 2015","18,430.75","18,874.60","18,874.60","18,388.35",52.07M,-3.08%,17.42
"Jan 05, 2015","19,017.40","19,155.20","19,166.00","18,987.70",36.32M,-0.21%,14.15
"Jan 02, 2015","19,057.80","18,752.20","19,118.85","18,752.20",41.29M,1.64%,13.80
"Jan 01, 2015","18,750.45","18,728.20","18,781.55","18,638.85",20.47M,0.07%,15.03
"Dec 31, 2014","18,736.65","18,659.60","18,774.20","18,659.60",27.01M,0.48%,15.12
"Dec 30, 2014","18,647.55","18,573.25","18,671.95","18,428.10",33.79M,0.64%,14.86
"Dec 29, 2014","18,528.35","18,589.60","18,700.70","18,501.05",26.42M,-0.16%,14.58
"Dec 26, 2014","18,557.20","18,602.55","18,681.75","18,448.60",29.90M,0.12%,14.65
"Dec 24, 2014","18,535.35","18,582.75","18,709.15","18,493.30",54.66M,-0.37%,15.07
"Dec 23, 2014","18,603.75","18,746.80","18,923.60","18,558.50",41.07M,-0.77%,15.30
"Dec 22, 2014","18,747.35","18,562.35","18,801.15","18,424.00",39.13M,1.45%,14.21
"Dec 19, 2014","18,478.90","18,545.70","18,563.60","18,413.75",63.61M,0.83%,14.51
"Dec 18, 2014","18,326.60","18,238.00","18,356.30","18,109.35",56.25M,2.58%,14.60
"Dec 17, 2014","17,865.75","17,762.25","18,051.85","17,502.45",81.37M,0.20%,16.93
"Dec 16, 2014","17,830.55","18,249.00","18,308.95","17,776.35",63.86M,-2.95%,16.31
"Dec 15, 2014","18,372.65","18,176.70","18,470.05","18,157.25",41.44M,0.40%,14.02
"Dec 12, 2014","18,299.75","18,413.70","18,501.75","18,236.55",38.15M,-0.57%,13.75
"Dec 11, 2014","18,405.00","18,427.50","18,529.65","18,218.40",45.85M,-0.31%,12.77
"Dec 10, 2014","18,462.95","18,183.10","18,532.90","18,183.10",47.19M,0.94%,12.24
"Dec 09, 2014","18,290.65","18,499.95","18,585.35","18,248.10",39.68M,-1.19%,12.50
"Dec 08, 2014","18,510.05","18,804.95","18,804.95","18,486.55",32.48M,-1.32%,12.21
"Dec 05, 2014","18,756.75","18,827.60","18,875.45","18,706.25",41.36M,-0.14%,11.95
"Dec 04, 2014","18,782.85","18,758.80","18,793.15","18,575.35",46.28M,0.73%,12.45
"Dec 03, 2014","18,645.85","18,549.75","18,723.65","18,518.00",44.13M,0.49%,12.37
"Dec 02, 2014","18,555.85","18,434.75","18,601.85","18,301.00",54.74M,0.16%,12.40
"Dec 01, 2014","18,525.30","18,586.95","18,676.10","18,497.00",43.68M,0.07%,13.20
"Nov 28, 2014","18,513.15","18,082.40","18,615.40","18,082.40",67.16M,2.72%,12.90
