Date,IndexFutNet,IndexOptNet
11/1/2018,-263.36,956.97
10/31/2018,737.02,1172.34
10/30/2018,200.76,134.21
10/29/2018,279.44,2078.29
10/26/2018,-146.54,541.24
10/25/2018,-2605.28,-202.22
10/24/2018,613.18,537.4
10/23/2018,-577.38,-190.89
10/22/2018,524.96,349.52
10/19/2018,-437.92,-1663.67
10/17/2018,1076.78,43.98
10/16/2018,186.31,318.44
10/15/2018,-1207.54,473.86
10/12/2018,528.66,524.9
10/11/2018,-1143.37,227.04
10/10/2018,-1486.75,2279.81
10/9/2018,79.97,376.81
10/8/2018,917.8,1334.35
10/5/2018,-1610.08,119.5
10/4/2018,-3156.9,-365.03
10/3/2018,-699.54,-49.55
10/1/2018,702.31,874.12
9/28/2018,702.31,874.12
9/27/2018,-1535.58,780.14
9/26/2018,279.44,706.55
9/25/2018,-793.3,648.73
9/24/2018,522.49,-1309.96
9/21/2018,1564.03,615.54
9/19/2018,355.12,-59.14
9/18/2018,964.99,-1161.83
9/17/2018,-616.61,-728.86
9/14/2018,458.35,220.73
9/12/2018,-391.06,381.77
9/11/2018,-1676.1,-360.5
9/10/2018,-630.59,-708.26
9/7/2018,-362.13,212.59
9/6/2018,-1154.99,123.54
9/5/2018,-2328.36,-314.51
9/4/2018,-335.69,-583.02
9/3/2018,-393.65,-672.56
8/31/2018,-1109.88,-985.42
8/30/2018,896.5,801.03
8/29/2018,-995.62,723.42
8/28/2018,284.15,184.4
8/27/2018,657,857.04
8/24/2018,-47.06,-222.5
8/23/2018,358.39,5.34
8/21/2018,-368.04,-99.46
8/20/2018,-118.17,603.4
8/17/2018,-695.42,855.43
8/16/2018,-432.53,-20.65
8/14/2018,-710.59,64.18
8/13/2018,-722.42,478.65
8/10/2018,-223.33,104.85
8/9/2018,-282.34,558.93
8/8/2018,658.96,84.91
8/7/2018,131.30,-21.17
8/6/2018,-146.27,348.53
8/3/2018,-480.83,-19.52
8/2/2018,-1069.99,-284.46
8/1/2018,1208.28,41.62
7/31/2018,65.92,611.18
7/30/2018,-242.17,1003.62
7/27/2018,711.56,657.27
7/26/2018,-537.48,1296.00
7/25/2018,-206.65,3.34
